commune,concentration_richess
NEUILLY-SUR-SEINE,121
SAINT-CLOUD,68
SAINT-MANDE,52
VERSAILLES,48
BOULOGNE-BILLANCOURT,46
MAISONS-LAFFITTE,44
SAINT-GERMAIN-EN-LAYE,44
LECHESNAY,43
LACELLE-SAINT-CLOUD,41
SEVRES,39
NOGENT-SUR-MARNE,37
CHATOU,36
MEUDON,36
SAINT-MAUR-DES-FOSSES,34
CANNES,33
GIF-SUR-YVETTE,31
RUEIL-MALMAISON,31
BIARRITZ,30
VINCENNES,30
MANDELIEU-LA-NAPOULE,29
SAINTE-FOY-LES-LYON,28
LEVALLOIS-PERRET,26
MONTMORENCY,26
MONT-SAINT-AIGNAN,24
ANTONY,23
CHARENTON-LE-PONT,23
ANTIBES,22
CALUIRE-ET-CUIRE,22
CLAMART,22
LEPERREUX-SUR-MARNE,22
AIX-EN-PROVENCE,20
COURBEVOIE,20
CROIX,20
FONTENAY-AUX-ROSES,20
LEBOUSCAT,20
HYERES,19
ISSY-LES-MOULINEAUX,19
LAGARENNE-COLOMBES,19
SURESNES,19
VANVES,19
BOIS-COLOMBES,18
ANGLET,17
ANNECY,17
VALLAURIS,17
CHATENAY-MALABRY,16
FONTENAY-SOUS-BOIS,16
OLIVET,16
RAMBOUILLET,16
ASNIERES-SUR-SEINE,15
LATESTE-DE-BUCH,15
