Gare;has_piano
Nice;TRUE
Marne-la-Vallée - Chessy;TRUE
Ermont - Eaubonne;TRUE
Bibliothèque François Mitterrand;TRUE
Metz-Ville;TRUE
Vichy;TRUE
Bellegarde;TRUE
Bourg-en-Bresse;TRUE
Chambéry;TRUE
Cannes;TRUE
Aix-en-Provence TGV;TRUE
La Rochelle-Ville;TRUE
Poitiers;TRUE
Trouville - Deauville;TRUE
TGV Haute-Picardie;TRUE
Amiens;TRUE
Le Havre;TRUE
Arras;TRUE
Aix-en-Provence;TRUE
Dieppe;TRUE
Montpellier Saint-Roch;TRUE
Gare d'Austerlitz;TRUE
Gare de Paris Bercy;TRUE
Évry - Courcouronnes;TRUE
Champagne-Ardenne TGV;TRUE
Reims;TRUE
Lyon Saint-Exupéry;TRUE
Grenoble;TRUE
Bourg Saint Maurice;TRUE
Toulouse;TRUE
Orléans;TRUE
Angers Saint-Laud;TRUE
Rennes;TRUE
Creil;TRUE
Valenciennes;TRUE
Lille Flandres;TRUE
Epernay;TRUE
Bayonne;TRUE
Besançon Viotte;TRUE
Gare du Nord;TRUE
Belfort-Montbéliard TGV;TRUE
Massy TGV;TRUE
Nancy;TRUE
Strasbourg;TRUE
Dijon Ville;TRUE
Lyon Part-Dieu;TRUE
Avignon TGV;TRUE
Agen;TRUE
Vendôme-Villiers TGV;TRUE
Saint-Brieuc;TRUE
Lens;TRUE
Dreux;TRUE
Menton;TRUE
Marseille-Saint-Charles;TRUE
Gare de Lyon;TRUE
Gare de l'Est;TRUE
Chelles - Gournay;TRUE
Troyes;TRUE
Charleville-Mézières;TRUE
Mulhouse Ville;TRUE
Monaco-Monte-Carlo;TRUE
Toulon;TRUE
Perpignan;TRUE
Bordeaux Saint-Jean;TRUE
Brest;TRUE
Caen;TRUE
Rouen Rive Droite;TRUE
Compiègne;TRUE
Douai;TRUE
Lille-Europe;TRUE
Biarritz;TRUE
Gare Montparnasse;TRUE
Gare Saint Lazare;TRUE
Besançon Franche-Comté TGV;TRUE
Haussmann - Saint-Lazare;TRUE
Magenta;TRUE
Lyon-Perrache;TRUE
Valence TGV;TRUE
Annecy;TRUE
Aix-les-Bains;TRUE
Nîmes;TRUE
Pau;TRUE
Limoges-Bénédictins;TRUE
Tours;TRUE
Nantes;TRUE
Vannes;TRUE
Lorient;TRUE
Dunkerque;TRUE
