"Nîmes","NIMES","Nîmes","7.3"
"Toulon","TOULON","Toulon","7.7"
"Grenoble","GRENOBLE","Grenoble","7.0"
"Lyon Part Dieu","LYON PART DIEU","Lyon","6.9"
"Lyon Perrache","LYON PERRACHE","Lyon","7.2"
"Paris Gare de Lyon","PARIS GARE DE LYON","Paris","7.4"
"Lourdes","LOURDES","Lourdes","7.3"
"Tours","TOURS","Tours","7.9"
"Paris Austerlitz","PARIS AUSTERLITZ","Paris","7.3"
"Nantes","NANTES","Nantes","7.6"
"Rennes","RENNES","Rennes","7.8"
"Rouen Rive Droite","ROUEN RIVE DROITE","Rouen","6.6"
"Le Mans","LE MANS","Mans","7.6"
"Paris Montparnasse","PARIS MONTPARNASSE","Paris","7.4"
"Avignon TGV","AVIGNON TGV","Avignon","7.9"
"Amiens","AMIENS","Amiens","7.3"
"Lille Flandres","LILLE FLANDRES","Lille","7.8"
"Lille Europe","LILLE EUROPE","Lille","7.7"
"Strasbourg","STRASBOURG","Strasbourg","7.8"
"Metz Ville","METZ VILLE","Metz","7.3"
"Mulhouse","MULHOUSE","Mulhouse","7.3"
"Reims","REIMS","Reims","7.9"
"Nancy","NANCY","Nancy","7.8"
"Paris Est","PARIS EST","Paris","7.5"
"Paris Bercy","PARIS BERCY","Paris","7.4"
NULL,"AEROPORT CDG2 TGV ROISSY",NULL,"7.4"
NULL,"AIX EN PROVENCE TGV",NULL,"7.5"
NULL,"ANGERS ST LAUD",NULL,"7.6"
NULL,"BORDEAUX ST JEAN",NULL,"7.8"
NULL,"DIJON VILLE",NULL,"7.8"
NULL,"MARNE+AC0-LA+AC0-VALLEE CHESSY",NULL,"7.4"
NULL,"MARSEILLE ST CHARLES",NULL,"7.1"
NULL,"MONTPELLIER SAINT+AC0-ROCH",NULL,"7.2"
NULL,"NICE VILLE",NULL,"6.1"
NULL,"PARIS NORD",NULL,"6.7"
NULL,"PARIS ST LAZARE",NULL,"7.6"
NULL,"ST NIVEAU 2",NULL,"7.6"
NULL,"ST PIERRE DES CORPS",NULL,"6.9"
NULL,"TOULOUSE+AC0-MATABIAU",NULL,"7.3"
